city,scenario,severity,avg_ratio,pct_disconnected,resilience
Phoenix,Tunnel Closure,0.1,1.0,0.02,0.3605218523480135
Phoenix,Tunnel Closure,0.2,1.0039896214701025,0.02,0.359086372041025
Phoenix,Tunnel Closure,0.3,1.004014689111235,0.02,0.35907737070553675
Phoenix,Highway Flood,0.05,1.0309736715356104,0.04,0.3423931413374279
Phoenix,Highway Flood,0.1,1.0856515551019663,0.07,0.31404397725237204
Phoenix,Highway Flood,0.2,1.1273216625301956,0.08,0.2979876395165828
Phoenix,Highway Flood,0.3,1.1816607637918302,0.1,0.2760919602497152
Pittsburgh,Random Failure,0.05,1.0902015643610499,0.07,0.3126183200843365
Pittsburgh,Random Failure,0.1,1.2296480203534843,0.07,0.2719277934492689
Pittsburgh,Random Failure,0.2,1.6891923709551289,0.48,0.09602767590722754
Pittsburgh,Random Failure,0.3,1.9434282587348175,0.95,0.007160606948284592
Pittsburgh,Targeted Attack (Top k%),0.05,1.3428897326227651,0.36,0.16709766197481363
Pittsburgh,Targeted Attack (Top k%),0.1,1.6534903546022712,0.82,0.03444853586574789
Pittsburgh,Targeted Attack (Top k%),0.2,1.5470294439463146,0.98,0.0042575881143573305
Pittsburgh,Targeted Attack (Top k%),0.3,inf,1.0,0.0
Pittsburgh,Bridge Collapse,0.05,1.0,0.11,0.3274127026425837
Pittsburgh,Bridge Collapse,0.1,1.0,0.16,0.3090187305840115
Pittsburgh,Bridge Collapse,0.2,1.0,0.18,0.30166114176058273
Pittsburgh,Bridge Collapse,0.3,1.0,0.21,0.29062475852543945
Pittsburgh,Tunnel Closure,0.05,1.000636702133747,0.01,0.3639688332367375
Pittsburgh,Tunnel Closure,0.1,1.0005448491403697,0.01,0.36400226639901084
Pittsburgh,Tunnel Closure,0.2,1.0042488586086413,0.01,0.36265649247610554
Pittsburgh,Tunnel Closure,0.3,1.0227695194001611,0.01,0.3560016706679342
Pittsburgh,Highway Flood,0.05,1.0193610234134554,0.03,0.3500006627608073
Pittsburgh,Highway Flood,0.1,1.0695337184023739,0.03,0.3328734384740416
Pittsburgh,Highway Flood,0.2,1.1415528315128685,0.05,0.303356643041383
Pittsburgh,Highway Flood,0.3,1.2269826956446122,0.09,0.2667900191519544
San Francisco,Random Failure,0.05,1.0784826965624736,0.03,0.3299078506248774
San Francisco,Random Failure,0.1,1.1642216624860133,0.04,0.2996789161433374
San Francisco,Random Failure,0.2,1.4921555728320621,0.21,0.1776610235532769
San Francisco,Random Failure,0.3,2.2829631855150954,0.53,0.04793133707476673
San Francisco,Targeted Attack (Top k%),0.05,1.3020754988333911,0.05,0.2583684031915156
San Francisco,Targeted Attack (Top k%),0.1,1.4517307295777149,0.19,0.18967337579425306
San Francisco,Targeted Attack (Top k%),0.2,1.5710296330349907,0.74,0.054036081425456295
San Francisco,Targeted Attack (Top k%),0.3,1.034028499964898,0.98,0.007111433021086102
San Francisco,Bridge Collapse,0.05,1.0,0.04,0.35316426352458463
San Francisco,Bridge Collapse,0.1,1.0,0.05,0.3494854691128702
San Francisco,Bridge Collapse,0.2,1.0,0.07,0.34212788028944136
San Francisco,Bridge Collapse,0.3,1.0,0.11,0.3274127026425837
San Francisco,Tunnel Closure,0.05,1.0,0.01,0.3642006467597279
San Francisco,Tunnel Closure,0.1,1.0013080628333633,0.01,0.36372456087282473
San Francisco,Tunnel Closure,0.2,1.0008713956228503,0.02,0.3602078320217748
San Francisco,Tunnel Closure,0.3,1.000858199517651,0.01,0.36388822402004783
San Francisco,Highway Flood,0.05,1.0467859430946107,0.01,0.3475536355614559
San Francisco,Highway Flood,0.1,1.0630878217850714,0.02,0.33847991316896975
San Francisco,Highway Flood,0.2,1.1023642304470187,0.01,0.3287641790268578
San Francisco,Highway Flood,0.3,1.1330379749439166,0.03,0.3123917772991023
