city,assortativity,mu,clustering,aspl,modularity,num_communities
Boston,0.1270178453137039,0.06083229952467229,0.04846724103386095,1.3333333333333333,0.9471388950620877,46
Chicago,0.1977299916489142,0.03527304720229465,0.0260526238967762,1.3333333333333333,0.9534003033307185,58
Dallas,0.17654027213028514,0.0583304004727068,0.048720264156450664,1.0,0.9605887496218495,70
Phoenix,0.09378918371335114,0.0511179067273871,0.05015251932042422,1.0,0.9701621841669187,104
Pittsburgh,0.10162172038143094,0.04899747045654927,0.040665163236967665,1.6666666666666667,0.9487193302689962,52
San Francisco,0.21618742471368585,0.08317714476194235,0.054249186690257405,1.8,0.9246889547674592,39
