city,scenario,severity,run,avg_ratio,median_ratio,pct_disconnected,n_removed_edges,n_pairs
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.5,1,5.0,5.0,100.0,37962,30
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.5,2,5.0,5.0,100.0,37962,30
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.5,3,4.882085744942263,5.0,96.66666666666667,37962,30
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.5,4,5.0,5.0,100.0,37962,30
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.7,0,5.0,5.0,100.0,53270,30
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.7,1,5.0,5.0,100.0,53270,30
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.7,2,5.0,5.0,100.0,53270,30
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.7,3,5.0,5.0,100.0,53270,30
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.7,4,5.0,5.0,100.0,53270,30
"Chicago, Illinois, USA",Random Failure,0.3,0,4.72645554134514,5.0,80.0,23142,30
"Chicago, Illinois, USA",Random Failure,0.3,1,4.4052480540773065,5.0,70.0,23142,30
"Chicago, Illinois, USA",Random Failure,0.3,2,4.5747342821147,5.0,80.0,23142,30
"Chicago, Illinois, USA",Random Failure,0.3,3,4.280112919192874,5.0,66.66666666666667,23142,30
"Chicago, Illinois, USA",Random Failure,0.3,4,4.539144592274634,5.0,80.0,23142,30
"Chicago, Illinois, USA",Random Failure,0.5,0,5.0,5.0,100.0,38571,30
"Chicago, Illinois, USA",Random Failure,0.5,1,5.0,5.0,100.0,38571,30
"Chicago, Illinois, USA",Random Failure,0.5,2,5.0,5.0,100.0,38571,30
"Chicago, Illinois, USA",Random Failure,0.5,3,5.0,5.0,100.0,38571,30
"Chicago, Illinois, USA",Random Failure,0.5,4,5.0,5.0,100.0,38571,30
"Chicago, Illinois, USA",Random Failure,0.7,0,5.0,5.0,100.0,53999,30
"Chicago, Illinois, USA",Random Failure,0.7,1,5.0,5.0,100.0,53999,30
"Chicago, Illinois, USA",Random Failure,0.7,2,5.0,5.0,100.0,53999,30
"Chicago, Illinois, USA",Random Failure,0.7,3,5.0,5.0,100.0,53999,30
"Chicago, Illinois, USA",Random Failure,0.7,4,5.0,5.0,100.0,53999,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.3,0,1.2950843700584946,1.1126669301614283,3.3333333333333335,137,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.3,1,1.053364039108635,1.012238318688442,0.0,137,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.3,2,1.0883922779058515,1.0541763110718478,0.0,137,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.3,3,1.0833428174230184,1.0641966567209706,0.0,137,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.3,4,1.1738090876993306,1.082623977643375,0.0,137,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.5,0,1.3592708064561316,1.167077298734644,3.3333333333333335,228,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.5,1,1.1705927886544023,1.072859255440334,0.0,228,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.5,2,1.155044156318043,1.123143341114906,0.0,228,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.5,3,1.210402565940598,1.142662546475698,0.0,228,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.5,4,1.643061846409818,1.1689366819056988,10.0,228,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.7,0,2.0946957108266333,1.2840272535284352,16.666666666666668,319,30
"Pittsburgh, Pennsylvania, USA",Bridge Collapse,0.7,1,2.388117582496146,1.2110717418265482,30.0,319,30
