city,scenario,severity,feat_n_nodes,feat_n_edges,feat_avg_degree,feat_degree_std,feat_max_degree,feat_avg_clustering,feat_transitivity,feat_assortativity,feat_density,feat_giant_component_frac,feat_approx_aspl,feat_modularity,feat_bridge_frac,feat_tunnel_frac,feat_major_highway_frac,feat_bc_mean,feat_bc_std,met_avg_ratio,met_median_ratio,met_pct_disconnected,met_n_removed_edges,met_n_pairs,label_resilience_score
"Chicago, Illinois, USA",Bridge Collapse,0.05,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,3.9331321093916496,5.0,70.0,859,60,0.25425029523218157
"Chicago, Illinois, USA",Bridge Collapse,0.1,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,3.9331321093916496,5.0,70.0,859,60,0.25425029523218157
"Chicago, Illinois, USA",Bridge Collapse,0.2,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,3.9331321093916496,5.0,70.0,859,60,0.25425029523218157
"Chicago, Illinois, USA",Bridge Collapse,0.3,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,3.9331321093916496,5.0,70.0,859,60,0.25425029523218157
"Chicago, Illinois, USA",Tunnel Closure,0.05,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,1.0602119085928805,1.0435355362518441,0.0,559,60,0.9432076662176017
"Chicago, Illinois, USA",Tunnel Closure,0.1,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,1.0602119085928805,1.0435355362518441,0.0,559,60,0.9432076662176017
"Chicago, Illinois, USA",Tunnel Closure,0.2,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,1.0602119085928805,1.0435355362518441,0.0,559,60,0.9432076662176017
"Chicago, Illinois, USA",Tunnel Closure,0.3,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,1.0602119085928805,1.0435355362518441,0.0,559,60,0.9432076662176017
"Chicago, Illinois, USA",Highway Flood,0.05,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,3.1592284682535787,2.1323604778239824,45.0,17093,60,0.3165329795071136
"Chicago, Illinois, USA",Highway Flood,0.1,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,3.1592284682535787,2.1323604778239824,45.0,17093,60,0.3165329795071136
"Chicago, Illinois, USA",Highway Flood,0.2,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,3.1592284682535787,2.1323604778239824,45.0,17093,60,0.3165329795071136
"Chicago, Illinois, USA",Highway Flood,0.3,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,3.1592284682535787,2.1323604778239824,45.0,17093,60,0.3165329795071136
"Chicago, Illinois, USA",Targeted Attack (Top k%),0.05,29362.0,48731.0,3.3193242967100334,0.8661535076708076,7.0,0.0260526238967762,0.025486142515666388,0.1977299916489142,0.00011305215410612832,1.0,17511.53345240898,0.9591820046385858,0.011134875883077322,0.007246095015879189,0.23292501134227753,0.0019783837367836356,0.01117500526528895,1.6080880702136333,1.3418880277131762,6.666666666666667,3602,60,0.6218564881630835
